Error,Npoint,Pi,Nlance,tempsMilis,Nproc
2.4191967600e-04,12000000,3.1423526666666666,0,1701,1
8.8910399043e-05,12000000,3.141313333333333,1,1521,1
7.5223073937e-05,12000000,3.1413563333333334,2,1477,1
1.5278458287e-04,12000000,3.141112666666667,3,1411,1
2.3947930020e-04,12000000,3.142345,4,1538,1
2.8032906893e-04,12000000,3.1424733333333332,5,1560,1
4.0330278829e-04,12000000,3.142859666666667,6,1331,1
2.4933858168e-04,12000000,3.1408093333333333,7,1197,1
8.9168393113e-06,12000000,3.141620666666667,8,1455,1
8.3825765860e-05,12000000,3.141856,9,1448,1
1.1395077676e-04,12000000,3.1412346666666666,0,1372,2
8.8706517448e-05,12000000,3.1418713333333335,1,1949,2
9.8998537101e-05,12000000,3.141903666666667,2,1538,2
6.6743135301e-05,12000000,3.141802333333333,3,1801,2
6.3657814739e-05,12000000,3.1413926666666665,4,1509,2
1.3941556765e-04,12000000,3.1411546666666665,5,1574,2
9.6337629720e-05,12000000,3.14129,6,1645,2
1.2605487743e-04,12000000,3.1419886666666668,7,1727,2
3.8307452136e-05,12000000,3.141713,8,1428,2
1.4143153026e-04,12000000,3.141148333333333,9,1555,2
3.3002287366e-05,12000000,3.1416963333333334,0,1690,4
8.8600414153e-05,12000000,3.141871,1,1625,4
2.2701942716e-05,12000000,3.1415213333333334,2,1693,4
1.2339397005e-04,12000000,3.141205,3,2166,4
8.7106643021e-05,12000000,3.141319,4,2066,4
1.4143985526e-04,12000000,3.142037,5,2015,4
2.7628481784e-06,12000000,3.1416013333333335,6,1713,4
2.7289351326e-04,12000000,3.140735333333333,7,1594,4
4.9433941574e-04,12000000,3.143145666666667,8,2852,4
2.2451041056e-04,12000000,3.140887333333333,9,3561,4
1.7825769876e-04,12000000,3.1421526666666666,0,4081,8
1.2838914993e-04,12000000,3.141996,1,4202,8
3.9996779866e-05,12000000,3.141467,2,3838,8
1.8981463296e-04,12000000,3.1409963333333333,3,3744,8
5.2092555541e-05,12000000,3.141429,4,4057,8
1.1214702073e-04,12000000,3.141240333333333,5,4076,8
1.0685018096e-04,12000000,3.1419283333333334,6,2425,8
1.3230664686e-04,12000000,3.141177,7,4026,8
9.1465203128e-05,12000000,3.14188,8,2350,8
1.3602026220e-04,12000000,3.1411653333333334,9,3940,8
1.1639489880e-03,1000000,3.137936,0,103,1
4.6197791065e-04,1000000,3.143044,1,114,1
1.1183703584e-04,1000000,3.141944,2,107,1
2.1411228761e-04,1000000,3.14092,3,107,1
2.4339679714e-04,1000000,3.140828,4,104,1
9.9104640397e-05,1000000,3.141904,5,111,1
2.3448412032e-04,1000000,3.140856,6,115,1
2.6249539031e-04,1000000,3.140768,7,105,1
1.6190946627e-04,1000000,3.141084,8,131,1
1.2116580084e-04,1000000,3.141212,9,127,1
9.0379203267e-04,2000000,3.144432,0,443,2
1.2303819768e-05,2000000,3.141554,1,395,2
2.6144268235e-04,2000000,3.142414,2,354,2
1.4434210672e-05,2000000,3.141638,3,386,2
5.9634214510e-05,2000000,3.14178,4,311,2
4.5561171292e-04,2000000,3.143024,5,440,2
4.2857567971e-07,2000000,3.141594,6,443,2
1.3602858719e-04,2000000,3.14202,7,420,2
6.4506641102e-05,2000000,3.14139,8,461,2
4.3756582771e-04,2000000,3.140218,9,389,2
2.5708412224e-04,4000000,3.140785,0,1114,4
1.0393960450e-05,4000000,3.14156,1,812,4
1.5703703968e-04,4000000,3.142086,2,954,4
4.0277227182e-04,4000000,3.142858,3,549,4
5.4410186128e-04,4000000,3.143302,4,1165,4
1.5872636741e-04,4000000,3.141094,5,1069,4
1.7740887240e-04,4000000,3.14215,6,656,4
9.2101822901e-05,4000000,3.141882,7,1143,4
7.7459568136e-05,4000000,3.141836,8,1222,4
1.5321732105e-04,4000000,3.142074,9,659,4
6.8706046266e-05,8000000,3.1418085,0,2269,8
2.7968412416e-04,8000000,3.140714,1,2822,8
1.0769900732e-04,8000000,3.141931,2,2798,8
2.1703845323e-04,8000000,3.1422745,3,2924,8
2.1242295988e-04,8000000,3.14226,4,1187,8
3.8265737234e-04,8000000,3.1403905,5,2683,8
5.0978470939e-05,8000000,3.1414325,6,2777,8
1.9724186364e-04,8000000,3.140973,7,2843,8
1.0954749000e-04,8000000,3.1412485,8,2787,8
6.8326359736e-05,8000000,3.141378,9,2792,8
