Error,Npoint,Pi,Nlance,tempsMilis,Nproc
1.3279970085e-05,15000000,3.1415509333333334,0,581,1
1.4527246956e-04,15000000,3.1411362666666665,1,577,1
5.3093272678e-06,15000000,3.1416093333333333,2,570,1
8.9543017948e-07,15000000,3.141595466666667,3,578,1
4.2140066433e-05,15000000,3.1414602666666664,4,580,1
1.8551018533e-05,15000000,3.141650933333333,0,317,2
4.0612178979e-05,15000000,3.1414650666666666,1,316,2
1.5180843255e-04,15000000,3.1411157333333333,2,317,2
3.1173564437e-04,15000000,3.142572,3,321,2
5.0373682155e-05,15000000,3.1414344,4,318,2
