Error,Npoint,Pi,Nlance,tempsMilis,Nproc
5.5556501805e-06,15000000,3.1415752,0,642,1
1.4655403410e-04,15000000,3.1420530666666666,1,569,1
1.2532505002e-04,15000000,3.1411989333333334,2,559,1
1.4051904192e-04,15000000,3.1411512,3,572,1
4.4609987882e-05,15000000,3.1417328,4,569,1
2.6072117994e-04,15000000,3.1424117333333332,0,318,2
6.8623448963e-05,15000000,3.1413770666666667,1,314,2
1.6675610154e-04,15000000,3.142116533333333,2,312,2
6.8623448963e-05,15000000,3.1413770666666667,3,319,2
3.0451229528e-04,15000000,3.140636,4,306,2
1.2864379783e-04,15000000,3.1419968,0,192,4
2.7336869275e-04,15000000,3.1424514666666665,1,189,4
2.1249951752e-04,15000000,3.1409250666666666,2,186,4
2.4153272530e-05,15000000,3.141668533333333,3,617,4
2.4280261868e-04,15000000,3.1408298666666665,4,196,4
1.5197819783e-04,15000000,3.1411152,0,221,8
1.8117782472e-04,15000000,3.1410234666666668,1,215,8
3.2242253155e-04,15000000,3.1405797333333334,2,205,8
1.3398307893e-04,15000000,3.1411717333333335,3,228,8
2.9246230709e-05,15000000,3.141684533333333,4,250,8
3.9432147067e-05,15000000,3.1417165333333332,0,293,16
2.0961350788e-04,15000000,3.1409341333333334,1,340,16
8.7722042134e-05,15000000,3.1413170666666668,2,357,16
1.0742313876e-04,15000000,3.141930133333333,3,322,16
6.6255060143e-05,15000000,3.1418008,4,379,16
6.7010678873e-05,15000000,3.1413821333333334,0,551,32
1.7311397427e-04,15000000,3.1410488,1,456,32
2.0664759445e-05,15000000,3.141527733333333,2,533,32
1.1404398439e-04,15000000,3.1419509333333333,3,478,32
8.1194404134e-05,15000000,3.1418477333333334,4,531,32
2.3643642096e-04,15000000,3.1408498666666667,0,979,64
5.3174809154e-05,15000000,3.1414256,1,830,64
1.7014806083e-05,15000000,3.1415392,2,914,64
2.1827153679e-04,15000000,3.1409069333333335,3,867,64
9.0777817042e-05,15000000,3.1413074666666665,4,841,64
