Error,Npoint,Pi,Nlance,tempsMilis,Nproc
3.8083011033e-04,15000000,3.1427890666666665,0,573,1
3.5994065680e-04,15000000,3.1404618666666666,1,561,1
9.9613936215e-05,15000000,3.1419056,2,550,1
1.8220474135e-04,15000000,3.1421650666666667,3,564,1
7.9403543775e-05,15000000,3.1413432,4,563,1
2.7099197894e-04,15000000,3.142444,0,308,2
1.8738258216e-04,15000000,3.1421813333333333,1,301,2
2.3660618623e-04,15000000,3.140849333333333,2,317,2
3.1690516019e-04,15000000,3.1405970666666665,3,314,2
7.3546641869e-05,15000000,3.1413616,4,306,2
1.0410439094e-04,15000000,3.1412656,0,191,4
1.6667121890e-04,15000000,3.1421162666666667,1,186,4
3.1529736893e-05,15000000,3.1414936,2,619,4
8.0761665956e-05,15000000,3.1413389333333335,3,188,4
1.2151365638e-04,15000000,3.1419744,4,186,4
9.9181198037e-05,15000000,3.1412810666666666,0,174,8
5.9541006877e-05,15000000,3.1414056,1,177,8
1.2931453393e-04,15000000,3.1411864,2,218,8
6.1501632509e-05,15000000,3.1417858666666665,3,211,8
1.3007847766e-04,15000000,3.141184,4,204,8
2.1089507242e-04,15000000,3.1422552,0,283,16
1.8805666442e-05,15000000,3.141651733333333,1,302,16
5.8445857601e-05,15000000,3.1417762666666667,2,311,16
3.7047108254e-05,15000000,3.1414762666666665,3,289,16
2.3304446167e-05,15000000,3.1416658666666666,4,292,16
1.4365969947e-04,15000000,3.141141333333333,0,455,32
5.3522664695e-05,15000000,3.1417608,1,463,32
1.9383366252e-04,15000000,3.1422016,2,470,32
1.0224195178e-05,15000000,3.141560533333333,3,452,32
1.0003834940e-04,15000000,3.1419069333333334,4,421,32
2.6818252694e-04,15000000,3.1407501333333334,0,710,64
3.2811799318e-04,15000000,3.1426234666666666,1,747,64
4.0442413706e-05,15000000,3.1414656,2,747,64
7.7625987247e-06,15000000,3.141568266666667,3,719,64
2.2947604478e-04,15000000,3.1408717333333334,4,758,64
