Error,Npoint,Pi,Nlance,tempsMilis,Nproc
3.7556404071e-05,15000000,3.141474666666667,0,539,1
1.9289995353e-04,15000000,3.142198666666667,1,529,1
5.6739879879e-05,15000000,3.1414144,2,552,1
4.9609738428e-05,15000000,3.1414368,3,553,1
4.7317907248e-05,15000000,3.141444,4,552,1
5.6739879879e-05,15000000,3.1414144,5,549,1
1.0665087003e-04,15000000,3.1412576,6,552,1
1.1497769339e-04,15000000,3.141953866666667,7,549,1
3.2463445893e-05,15000000,3.141490666666667,8,551,1
1.3330401784e-04,15000000,3.1411738666666666,9,554,1
9.8081069926e-06,15000000,3.1416234666666667,10,549,1
7.2366609957e-05,15000000,3.14182,11,552,1
3.1614619529e-05,15000000,3.1414933333333335,12,550,1
1.2439134102e-04,15000000,3.1412018666666666,13,550,1
1.1166727057e-04,15000000,3.1419434666666666,14,549,1
3.5272897887e-05,15000000,3.1417034666666668,15,553,1
1.7974314490e-04,15000000,3.1421573333333335,16,549,1
1.1701487666e-04,15000000,3.1419602666666666,17,555,1
1.5410858873e-04,15000000,3.1420768,18,551,1
1.8847773144e-04,15000000,3.1410005333333335,19,548,1
4.9991921087e-01,15000000,1.5710501333333333,0,279,2
4.9998847510e-01,15000000,1.5708325333333333,1,281,2
5.0002416825e-01,15000000,1.5707204,2,277,2
4.9996712712e-01,15000000,1.5708996,3,279,2
4.9999136111e-01,15000000,1.5708234666666667,4,279,2
5.0010595267e-01,15000000,1.5704634666666666,5,281,2
4.9999348318e-01,15000000,1.5708168,6,279,2
4.9996666026e-01,15000000,1.5709010666666667,7,281,2
5.0003715529e-01,15000000,1.5706796,8,281,2
5.0004852957e-01,15000000,1.5706438666666667,9,278,2
5.0010251492e-01,15000000,1.5704742666666667,10,279,2
4.9988445143e-01,15000000,1.5711593333333334,11,279,2
5.0003978665e-01,15000000,1.5706713333333333,12,282,2
5.0001848111e-01,15000000,1.5707382666666667,13,278,2
5.0005256149e-01,15000000,1.5706312,14,281,2
5.0005358008e-01,15000000,1.570628,15,282,2
4.9995256975e-01,15000000,1.5709453333333334,16,281,2
5.0002930365e-01,15000000,1.5707042666666666,17,278,2
5.0010697126e-01,15000000,1.5704602666666667,18,279,2
5.0013905690e-01,15000000,1.5703594666666667,19,279,2
7.5001197802e-01,15000000,0.7853605333333333,0,143,4
7.4997717614e-01,15000000,0.7854698666666666,1,141,4
7.4995659210e-01,15000000,0.7855345333333333,2,141,4
7.5006224976e-01,15000000,0.7852026,3,142,4
7.5003029145e-01,15000000,0.785303,4,140,4
7.5006012770e-01,15000000,0.7852092666666667,5,142,4
7.4999916074e-01,15000000,0.7854008,6,142,4
7.4999287943e-01,15000000,0.7854205333333333,7,141,4
7.4999708112e-01,15000000,0.7854073333333333,8,141,4
7.4997834328e-01,15000000,0.7854662,9,140,4
7.4998269351e-01,15000000,0.7854525333333333,10,142,4
7.5001509746e-01,15000000,0.7853507333333334,11,141,4
7.4999618985e-01,15000000,0.7854101333333333,12,141,4
7.5004043493e-01,15000000,0.7852711333333333,13,140,4
7.4995688919e-01,15000000,0.7855336,14,142,4
7.5004160206e-01,15000000,0.7852674666666667,15,141,4
7.5002642929e-01,15000000,0.7853151333333334,16,141,4
7.5002229126e-01,15000000,0.7853281333333333,17,141,4
7.5001906572e-01,15000000,0.7853382666666666,18,141,4
7.5003360187e-01,15000000,0.7852926,19,141,4
8.7501307671e-01,15000000,0.392658,0,140,8
8.7497017915e-01,15000000,0.3927927666666667,1,142,8
8.7498958544e-01,15000000,0.3927318,2,110,8
8.7500488554e-01,15000000,0.39268373333333334,3,136,8
8.7502151192e-01,15000000,0.3926315,4,113,8
8.7499349004e-01,15000000,0.3927195333333333,5,142,8
8.7498655089e-01,15000000,0.39274133333333333,6,140,8
8.7497120835e-01,15000000,0.39278953333333333,7,113,8
8.7498245530e-01,15000000,0.3927542,8,142,8
8.7497397765e-01,15000000,0.39278083333333336,9,139,8
8.7501309793e-01,15000000,0.3926579333333333,10,137,8
8.7499239718e-01,15000000,0.3927229666666667,11,136,8
8.7498542619e-01,15000000,0.3927448666666667,12,110,8
8.7499900741e-01,15000000,0.3927022,13,137,8
8.7498195661e-01,15000000,0.3927557666666667,14,141,8
8.7499342638e-01,15000000,0.3927197333333333,15,141,8
8.7498820610e-01,15000000,0.39273613333333335,16,139,8
8.7501109258e-01,15000000,0.39266423333333333,17,142,8
8.7497311821e-01,15000000,0.3927835333333333,18,143,8
8.7499757502e-01,15000000,0.3927067,19,135,8
