Error,Npoint,Pi,Nlance,tempsMilis,Nproc
2.2249444794e-04,12000000,3.1408936666666665,0,1162,1
2.4085031805e-04,12000000,3.140836,1,909,1
2.3028577599e-05,12000000,3.141665,2,1035,1
6.7804168255e-05,12000000,3.1418056666666665,3,878,1
1.4239478492e-04,12000000,3.14204,4,1097,1
3.1268224903e-04,12000000,3.1406103333333335,5,1066,1
2.0155463627e-05,12000000,3.141529333333333,6,957,1
7.5329177232e-05,12000000,3.141356,7,1083,1
7.2191865849e-06,12000000,3.141615333333333,8,1019,1
7.5231398933e-05,12000000,3.141829,9,1223,1
3.0717320267e-04,24000000,3.142557666666667,0,1333,2
7.7883981318e-05,24000000,3.141837333333333,1,1270,2
5.0819315996e-05,24000000,3.141433,2,1192,2
7.6496313481e-05,24000000,3.1413523333333333,3,2227,2
1.6874586466e-05,24000000,3.141645666666667,4,1412,2
6.2642569264e-06,24000000,3.1416123333333332,5,1960,2
1.8101638444e-04,24000000,3.142161333333333,6,1896,2
2.1189244340e-04,24000000,3.1422583333333334,7,2087,2
5.6973307129e-05,24000000,3.1414136666666668,8,2086,2
2.6317779756e-05,24000000,3.141675333333333,9,1113,2
1.1268586221e-04,48000000,3.1419466666666667,0,2337,4
3.1198531344e-05,48000000,3.141690666666667,1,2603,4
2.3681839282e-04,48000000,3.140848666666667,2,2196,4
2.6521661350e-05,48000000,3.1415093333333335,3,1193,4
2.8015432482e-05,48000000,3.141680666666667,4,2979,4
2.2303328942e-04,48000000,3.1422933333333334,5,2792,4
1.1667199995e-05,48000000,3.141556,6,1589,4
1.8153857592e-04,48000000,3.1410223333333334,7,2604,4
1.4222004081e-05,48000000,3.141637333333333,8,2160,4
4.1914964179e-05,48000000,3.1417243333333333,9,1506,4
1.9650746557e-04,96000000,3.14221,0,4047,8
1.3920336106e-04,96000000,3.1411553333333333,1,1866,8
6.8971304505e-05,96000000,3.1418093333333332,2,2324,8
6.0474715877e-05,96000000,3.1414026666666666,3,3966,8
6.2915091671e-05,96000000,3.141395,4,1928,8
2.7480337257e-04,96000000,3.1407293333333333,5,1705,8
2.1012614986e-05,96000000,3.141658666666667,6,3435,8
7.1047582934e-06,96000000,3.141570333333333,7,3749,8
1.9527168851e-05,96000000,3.141654,8,1883,8
3.7352522477e-05,96000000,3.14171,9,1369,8
