Error,Npoint,Pi,Nlance,tempsMilis,Nproc
1.8885970330e-04,12000000,3.1409993333333333,0,1547,1
1.3262495675e-04,12000000,3.141176,1,1258,1
2.8643727258e-05,12000000,3.1415026666666668,2,1364,1
2.7968412416e-04,12000000,3.140714,3,1654,1
8.0854873589e-05,12000000,3.1418466666666665,4,1455,1
7.1729990185e-05,12000000,3.141818,5,1513,1
1.4037049731e-04,12000000,3.1411516666666666,6,1454,1
2.6408693974e-04,12000000,3.140763,7,1338,1
3.1092428049e-05,12000000,3.1416903333333335,8,1569,1
1.7570289468e-04,12000000,3.1410406666666666,9,1727,1
1.7290674651e-05,12000000,3.1415383333333335,0,1328,2
1.4059102890e-04,12000000,3.142034333333333,1,1417,2
8.1907581547e-05,12000000,3.141335333333333,2,1934,2
1.8758646376e-04,12000000,3.1410033333333334,3,1921,2
4.0641724634e-05,12000000,3.1417203333333332,4,1621,2
1.4599397196e-04,12000000,3.141134,5,1594,2
9.8043607443e-05,12000000,3.1419006666666665,6,1726,2
1.4016661571e-04,12000000,3.142033,7,1733,2
2.7166606119e-05,12000000,3.141678,8,1546,2
2.6175266724e-04,12000000,3.140770333333333,9,1605,2
2.8032906893e-04,12000000,3.1424733333333332,0,2133,4
1.3188223368e-04,12000000,3.1411783333333334,1,2748,4
1.1777049539e-04,12000000,3.1412226666666667,2,2071,4
7.5435280527e-05,12000000,3.1413556666666667,3,1951,4
1.2206041468e-05,12000000,3.141631,4,2236,4
1.7496849660e-04,12000000,3.142142333333333,5,2385,4
1.2052918107e-04,12000000,3.141214,6,2189,4
1.4673669503e-04,12000000,3.141131666666667,7,2020,4
1.5555159355e-04,12000000,3.1420813333333335,8,1959,4
1.3474702265e-04,12000000,3.1411693333333335,9,1687,4
1.3178445538e-04,12000000,3.1420066666666666,0,4095,8
2.4445382922e-06,12000000,3.1416003333333333,1,4002,8
4.6575184180e-05,12000000,3.141446333333333,2,4445,8
7.9997722229e-05,12000000,3.1413413333333335,3,3532,8
1.2572824254e-04,12000000,3.1411976666666668,4,3156,8
2.7697122596e-05,12000000,3.1416796666666666,5,4247,8
1.5512718037e-04,12000000,3.14208,6,4605,8
2.7545231821e-06,12000000,3.141584,7,4208,8
2.6069163429e-04,12000000,3.1407736666666666,8,2287,8
8.9237033925e-05,12000000,3.141873,9,4421,8
1.0547083812e-04,0,3.141924,0,121,1
1.5427002901e-04,0,3.141108,1,146,1
8.8978639768e-04,0,3.144388,2,128,1
2.5740243213e-04,0,3.140784,3,300,1
1.0334044722e-04,0,3.141268,4,137,1
6.9498074733e-04,0,3.143776,5,135,1
1.9374045489e-04,0,3.140984,6,120,1
6.5210669100e-04,0,3.139544,7,136,1
1.9077788762e-04,0,3.142192,8,127,1
1.8890549078e-05,0,3.141652,9,166,1
1.6149337809e-04,2000000,3.1421,0,449,2
2.8219314077e-05,2000000,3.141504,1,483,2
3.7708694933e-04,2000000,3.140408,2,524,2
5.8908133353e-04,2000000,3.139742,3,543,2
3.3656381549e-04,2000000,3.14265,4,549,2
3.1533483141e-04,2000000,3.140602,5,534,2
5.4451794947e-04,2000000,3.139882,6,422,2
2.6335254167e-04,2000000,3.14242,7,507,2
3.0896863369e-04,2000000,3.140622,8,503,2
1.0779678562e-04,2000000,3.141254,9,393,2
2.0828493136e-04,8000000,3.142247,0,884,4
1.1120041607e-04,8000000,3.141942,1,1295,4
4.2419681249e-04,8000000,3.14026,2,827,4
1.0174889779e-04,8000000,3.141273,3,1159,4
3.1084103053e-05,8000000,3.141495,4,593,4
1.1667199995e-05,8000000,3.141556,5,737,4
1.7581732297e-04,8000000,3.142145,6,958,4
1.8670017491e-05,8000000,3.141534,7,681,4
9.7292559379e-05,8000000,3.141287,8,1019,4
5.1618836960e-04,8000000,3.139971,9,1405,4
4.6723002377e-04,24000000,3.1430605,0,2548,8
4.1432920602e-04,24000000,3.140291,1,3012,8
1.2043140277e-04,24000000,3.141971,2,2989,8
1.0117365466e-04,24000000,3.1419105,3,2872,8
1.8472999978e-04,24000000,3.142173,4,2685,8
2.7077144735e-04,24000000,3.140742,5,3034,8
8.0680129481e-06,24000000,3.141618,6,2935,8
1.5204185980e-04,24000000,3.141115,7,2905,8
2.2547366521e-04,24000000,3.142301,8,2878,8
1.1887731582e-05,24000000,3.14163,9,2837,8
